656,Chicago Athletic Association
657,Calypse II
658,Scotland
659,Scotland-2
660,Ciocca
661,Esperia
662,Tournade-40
663,Tornade-16
664,Galejan
665,Great Britain-4
666,Cuba-1
667,Marshall Islands
668,United States-6
669,Santa Maria
670,Dormy-1
671,Umberta V
672,Rozenn-3
673,Jest
674,Magdalen College Boat Club-1
675,Western Golf Association-1
676,Scotia
677,Red Dragon
678,"R.-V. Germania, Leitmeritz"
679,Hungary-1
680,Akatonbo
681,Terrible
682,Elisabeth V
683,Studenternes Roklub-2
684,Rififi
685,New York Athletic Club #1-1
686,Partenope
687,Bermudes
688,England
689,Cornwall
690,Kiribati
691,United States-7
692,Diablo
693,Plume-patte-32
694,Plume-Patte-5
695,Pierre et Jean-3
696,Pierre et Jean-4
697,Espadarte
698,Fruits
699,Belgium-2
700,Sidi Fekkar-36
701,Sidi-Fekkar-14
702,Souvenance
703,Meteor
704,Kurush IV
705,Vesania
706,Kurush II
707,Canopus
708,Crabe I-11
709,Crabe I-3
710,Crabe I-2
711,Gwendoline-22
712,Gwendoline-2
713,United States/France
714,Vicking
715,Daisy
716,Virginie
717,Acipactli
718,Belgium-4
719,Pegaso
720,Girl Pat
721,Fada
722,Bu III
723,Lerina
724,"Bagatelle Polo Club, Paris"
725,Bem II
726,St. Margrite
727,Hollandia
728,Aphrodite
729,Bonzo
730,Socit Nautique de la Basse Seine-1
731,Socit Nautique de la Basse Seine-2
732,Univ. of Brussels
733,"Concordia Turnverein, St Louis"
734,Rowing Club Castillon-3
735,Frip IV
736,Mad Dog
737,Hb-24
738,Hb-20
739,"South St Louis Turnverein, St Louis"
740,Century Boat Club-1
741,Unique
742,Pan-Hellenic Athletic Club
743,"Phalainis ton Thorichtou ""Hydra""-2"
744,Viking
745,Silja
746,Bermudian
747,Dresden
748,United States/Great Britain
749,Mignon-29
750,Mignon-3
751,Favorite-17
752,Favorite-1
753,St. Louis Amateur Athletic Association
754,Naiad
755,Pakaria
756,Ireland-3
757,Serbia-2
758,United States-14
759,Oxalis
760,Gitana-21
761,Gitana-2
762,Joy
763,Thalatta
764,Trintel II
765,"Central Turnverein, Chicago"
766,Galopin-20
767,Galopin-9
768,France-4
769,Berliner Ruderclub
770,Rhythm
771,"Turnverein Vorwrts, Chicago"
772,Guanahani
773,Unknown
774,Spirit III
775,Pannonia RC/National RC
776,Bella
777,May-Be 1960
778,May Be
779,Inga-Lill XXXXIII
780,Mexico-1
781,Nirwana
782,Omilos Ereton Peiraios-2
783,Llanoria
784,Marmi II-1
785,Kitty-1
786,Vaxholm Roddklubb
787,Tuvalu
788,A North American Team
789,Nirefs
790,Proteus II
791,Finn II
792,Impala
793,Missouri Athletic Club-3
794,Pam
795,Oleander II
796,Apache
797,Roklubb Kbnhavn-2
798,Tu-Fri
799,Tutti V
800,Cha-Cha III
801,Augsburg
802,Leander Club #2-2
803,Ariel
804,Encore
805,Feo
806,Seawanhaka Boat Club-1
807,Gem II
808,Gem III
809,Gem IV
810,Gem VII
811,Pupilles de Neptune de Lille #1-3
812,Chaje II
813,Ludwigshafener Ruder Verein-1
814,Leander Club #1-1
815,Dylan-2
816,Moorina
817,30. Februar
818,Cercle Nautique de Reims-4
819,Cuba-2
820,Struten
821,Gyrinus-1
822,Ylliam II
823,East Germany-3
824,Paka V
825,Brigantia
826,Sydney Rowing Club
827,Espardate
828,Australia/Great Britain
829,Kannibaltje
830,Milwaukee Athletic Club-1
831,Xantippa
832,Skum
833,Miss Denmark 1964
834,Kemphaan
835,Helsingfors R. K.
836,Newfoundland
837,Emily
838,Fram III
839,Mizar
840,Ubu
841,St. Louis Southwest Turnverein #2-3
842,"Socialer Turnverein, Detroit"
843,Bohemia-1
844,Essen
845,Miss Nippon V
846,Argeste
847,Gullvinge
848,United States-4
849,South Korea-1
850,Bajazzo
851,Cinara-13
852,Ilderim
853,Tantalus
854,Peiraikos Syndesmos-2
855,Baby-9
856,Baby-1
857,Femur-18
858,Femur-1
859,Kosovo
860,Colette-10
861,Colette-12
862,Germany/United States
863,"Germania Ruder Club, Hamburg"
864,Freddy
865,Rika II
866,Korshun
867,Hungary-2
868,Patricia
869,Tlaloc
870,Springbok
871,Aretusa
872,Quicksilver-2
873,Viktoriya
874,"Germania Ruder Club, Hamburg-2"
875,Omilos Ereton Smyrnis
876,Belarus-2
877,Alcaid
878,Finland-1
879,Finland-2
880,Alain IV
881,Jupiter
882,Three Leaves
883,"Philadelphia Turngemeinde, Philadelphia"
884,K.S.S.S. 1912-2
885,Unified Team-3
886,Paka
887,Sheerio
888,Pan II
889,Pasodoble
890,Freja
891,India-2
892,Sass-2
893,Roy
894,Ukraine-1
895,Deutscher Schwimm Verband Berlin
896,Jet
897,Belgium-3
898,Shrew II
899,Sylvia
900,Salamander
901,Denmark-3
902,Ingegerd
903,Slovakia-2
904,Johan
905,Jamaica-2
906,Andromeda
907,Hornet
908,South Sudan
909,Sweden-4
910,Chance
911,Brat
912,Yeoman V
913,Knigsberg
914,Don Schufro
915,Vinga-1
916,Aloha II
917,Raili
918,Syndi
